# dynamical charge structure factor of generlized Kondo-Heisenberg model
# t=0.5 U=10 Jh=10 L=200 n=1.33 S=1/2
# k, omega, N(k,omega)

0 3.65 6.49412e-06
0 3.7 0.000404761
0 3.75 0.00129961
0 3.8 0.000335063
0 3.85 9.91849e-05
0 3.9 0.000318107
0 3.95 9.2726e-05
0 4 7.20123e-05
0 4.05 9.19591e-06
0 4.1 2.98322e-06
0 4.15 1.82511e-05
0 4.2 1.1961e-06
0 4.25 2.23601e-05
0 4.3 6.20565e-06
0 4.35 5.53021e-06
0 4.4 8.47825e-06
0 4.45 8.823e-06
0 4.5 7.99981e-06
0 4.55 8.85818e-06
0 4.6 1.3924e-05
0 4.65 7.45101e-06
0 4.7 4.24968e-06
0 4.75 5.38949e-06
0 4.8 8.43603e-06
0 4.85 7.46508e-06
0 4.9 8.96372e-06
0 4.95 8.94965e-06
0 5 8.00684e-06
0.005 0 0.000178159
0.005 0.05 0.000222008
0.005 0.1 0.000160965
0.005 0.15 9.63677e-05
0.005 0.2 5.69037e-05
0.005 0.25 3.58337e-05
0.005 0.3 2.60948e-05
0.005 0.35 1.73712e-05
0.005 0.4 1.29258e-05
0.005 0.45 1.01475e-05
0.005 0.5 2.64749e-06
0.005 0.55 5.20126e-06
0.005 0.6 1.03025e-07
0.005 0.65 1.33105e-05
0.005 0.7 1.13253e-05
0.005 0.75 2.14209e-06
0.005 0.8 1.53035e-05
0.005 0.85 5.07264e-06
0.005 0.9 4.68358e-06
0.005 0.95 1.24685e-06
0.005 1 1.59609e-05
0.005 1.05 3.87979e-05
0.005 1.1 3.12364e-05
0.005 1.15 2.18241e-05
0.005 1.2 3.72146e-05
0.005 1.25 3.57144e-05
0.005 1.3 8.1426e-05
0.005 1.35 6.94923e-05
0.005 1.4 0.000121438
0.005 1.45 5.82521e-05
0.005 1.5 7.75844e-05
0.005 1.55 1.02885e-05
0.005 1.6 2.19185e-05
0.005 1.65 0.000115327
0.005 1.7 3.67388e-05
0.005 1.75 3.81187e-05
0.005 1.8 5.79104e-05
0.005 1.85 0.000176819
0.005 1.9 0.000152937
0.005 1.95 2.20177e-05
0.005 2 0.000159595
0.005 2.05 0.000113057
0.005 2.1 0.00015625
0.005 2.15 0.000276256
0.005 2.2 0.000426804
0.005 2.25 0.000231172
0.005 2.3 0.000164932
0.005 2.35 0.000266943
0.005 2.4 1.93709e-05
0.005 2.45 9.13702e-05
0.005 2.5 8.07736e-05
0.005 2.55 0.000222462
0.005 2.6 0.00013418
0.005 2.65 0.000174491
0.005 2.7 0.000107232
0.005 2.75 0.000359553
0.005 2.8 0.000317165
0.005 2.85 0.000120885
0.005 2.9 4.28684e-05
0.005 2.95 0.000537021
0.005 3 0.000204486
0.005 3.05 2.66526e-05
0.005 3.1 8.29386e-05
0.005 3.15 5.51947e-05
0.005 3.2 0.000194378
0.005 3.25 0.000297865
0.005 3.3 1.48951e-07
0.005 3.35 0.000161237
0.005 3.4 0.000385906
0.005 3.45 0.000443466
0.005 3.5 0.000282996
0.005 3.55 0.000642357
0.005 3.6 0.000812756
0.005 3.65 4.04005e-06
0.005 3.7 0.000407468
0.005 3.75 0.00130605
0.005 3.8 0.000320368
0.005 3.85 9.74625e-05
0.005 3.9 0.000329411
0.005 3.95 0.00010501
0.005 4 6.4705e-05
0.005 4.05 1.05396e-05
0.005 4.1 5.15777e-06
0.005 4.15 1.60797e-05
0.005 4.2 5.89489e-07
0.005 4.25 1.81174e-05
0.005 4.3 4.29959e-06
0.005 4.35 2.05893e-06
0.005 4.4 5.49925e-06
0.005 4.45 3.95395e-06
0.005 4.5 1.40626e-06
0.005 4.55 8.21328e-06
0.005 4.6 1.88628e-06
0.005 4.65 3.84824e-06
0.005 4.7 5.23262e-06
0.005 4.75 9.01487e-08
0.005 4.8 5.20727e-06
0.005 4.85 6.0814e-06
0.005 4.9 5.50698e-06
0.005 4.95 4.45429e-06
0.005 5 6.9528e-06
0.01 0 0.000521532
0.01 0.05 0.00068144
0.01 0.1 0.000566366
0.01 0.15 0.000353237
0.01 0.2 0.000212913
0.01 0.25 0.000134189
0.01 0.3 9.11244e-05
0.01 0.35 6.33832e-05
0.01 0.4 4.74018e-05
0.01 0.45 3.50838e-05
0.01 0.5 2.49284e-05
0.01 0.55 2.11941e-05
0.01 0.6 1.87696e-05
0.01 0.65 2.25156e-05
0.01 0.7 1.89604e-05
0.01 0.75 2.32106e-06
0.01 0.8 2.02464e-05
0.01 0.85 2.49191e-06
0.01 0.9 1.32935e-05
0.01 0.95 2.21601e-05
0.01 1 3.00111e-05
0.01 1.05 2.12687e-05
0.01 1.1 4.90488e-05
0.01 1.15 4.79481e-06
0.01 1.2 2.6606e-05
0.01 1.25 3.10088e-05
0.01 1.3 7.21568e-05
0.01 1.35 7.86745e-05
0.01 1.4 0.000102459
0.01 1.45 7.54277e-05
0.01 1.5 7.71843e-05
0.01 1.55 4.91381e-06
0.01 1.6 8.71824e-06
0.01 1.65 9.94342e-05
0.01 1.7 1.83105e-05
0.01 1.75 4.48255e-05
0.01 1.8 4.42589e-05
0.01 1.85 0.00015924
0.01 1.9 0.000135084
0.01 1.95 1.85206e-05
0.01 2 0.000150381
0.01 2.05 0.000112638
0.01 2.1 0.000171679
0.01 2.15 0.000233779
0.01 2.2 0.000400613
0.01 2.25 0.00022417
0.01 2.3 0.000168282
0.01 2.35 0.00025478
0.01 2.4 5.53772e-05
0.01 2.45 8.51076e-05
0.01 2.5 8.07741e-05
0.01 2.55 0.000210822
0.01 2.6 0.000162244
0.01 2.65 0.000180921
0.01 2.7 9.38915e-05
0.01 2.75 0.000372533
0.01 2.8 0.000300936
0.01 2.85 8.94703e-05
0.01 2.9 4.23672e-05
0.01 2.95 0.000396575
0.01 3 0.000178718
0.01 3.05 4.38509e-05
0.01 3.1 9.00831e-05
0.01 3.15 5.80655e-05
0.01 3.2 0.000217804
0.01 3.25 0.000294793
0.01 3.3 9.63598e-06
0.01 3.35 0.000209017
0.01 3.4 0.000372933
0.01 3.45 0.000475145
0.01 3.5 0.000282195
0.01 3.55 0.000630345
0.01 3.6 0.00080503
0.01 3.65 2.82789e-06
0.01 3.7 0.000406256
0.01 3.75 0.00131353
0.01 3.8 0.000285228
0.01 3.85 9.51467e-05
0.01 3.9 0.000341544
0.01 3.95 0.000117427
0.01 4 5.15791e-05
0.01 4.05 1.23795e-05
0.01 4.1 7.97769e-06
0.01 4.15 1.23067e-05
0.01 4.2 4.23269e-06
0.01 4.25 9.91479e-06
0.01 4.3 1.85822e-07
0.01 4.35 4.00904e-06
0.01 4.4 1.00988e-06
0.01 4.45 3.06202e-06
0.01 4.5 7.29783e-06
0.01 4.55 7.9947e-06
0.01 4.6 1.50556e-05
0.01 4.65 1.30437e-06
0.01 4.7 6.63965e-06
0.01 4.75 7.85265e-06
0.01 4.8 5.76436e-07
0.01 4.85 4.46209e-06
0.01 4.9 3.04608e-07
0.01 4.95 2.29255e-06
0.01 5 5.26429e-06
0.015 0 0.000707228
0.015 0.05 0.00100493
0.015 0.1 0.00103011
0.015 0.15 0.000717548
0.015 0.2 0.000437557
0.015 0.25 0.000270249
0.015 0.3 0.00017756
0.015 0.35 0.000125066
0.015 0.4 8.68735e-05
0.015 0.45 7.022e-05
0.015 0.5 4.72355e-05
0.015 0.55 3.86715e-05
0.015 0.6 2.68442e-05
0.015 0.65 3.47333e-05
0.015 0.7 3.05299e-05
0.015 0.75 6.64678e-06
0.015 0.8 2.65347e-05
0.015 0.85 1.07707e-05
0.015 0.9 1.74652e-05
0.015 0.95 2.74408e-05
0.015 1 4.06176e-05
0.015 1.05 2.24954e-05
0.015 1.1 4.90568e-05
0.015 1.15 5.26805e-06
0.015 1.2 1.68515e-05
0.015 1.25 2.40484e-05
0.015 1.3 5.09045e-05
0.015 1.35 5.62871e-05
0.015 1.4 7.69627e-05
0.015 1.45 8.25701e-05
0.015 1.5 8.48994e-05
0.015 1.55 8.40874e-06
0.015 1.6 3.93576e-06
0.015 1.65 8.20731e-05
0.015 1.7 1.67805e-07
0.015 1.75 3.42118e-05
0.015 1.8 3.16782e-05
0.015 1.85 0.00013779
0.015 1.9 0.000111828
0.015 1.95 1.58809e-05
0.015 2 0.000144003
0.015 2.05 0.00011094
0.015 2.1 0.000176694
0.015 2.15 0.000197711
0.015 2.2 0.000346212
0.015 2.25 0.000224102
0.015 2.3 0.000131984
0.015 2.35 0.000227889
0.015 2.4 4.9564e-05
0.015 2.45 9.20588e-05
0.015 2.5 5.97595e-05
0.015 2.55 0.000191456
0.015 2.6 0.000180555
0.015 2.65 0.000131702
0.015 2.7 7.85079e-05
0.015 2.75 0.000371157
0.015 2.8 0.000335345
0.015 2.85 0.0001271
0.015 2.9 2.03442e-05
0.015 2.95 0.000322895
0.015 3 0.000162778
0.015 3.05 3.10997e-05
0.015 3.1 8.71661e-05
0.015 3.15 2.16149e-05
0.015 3.2 0.000246369
0.015 3.25 0.00027558
0.015 3.3 1.26213e-05
0.015 3.35 0.00024636
0.015 3.4 0.000332954
0.015 3.45 0.000439395
0.015 3.5 0.000231972
0.015 3.55 0.000612612
0.015 3.6 0.000781276
0.015 3.65 6.8139e-05
0.015 3.7 0.000391739
0.015 3.75 0.00129903
0.015 3.8 0.000248243
0.015 3.85 9.18142e-05
0.015 3.9 0.000330418
0.015 3.95 9.80889e-05
0.015 4 4.81417e-05
0.015 4.05 1.08757e-05
0.015 4.1 6.89935e-06
0.015 4.15 1.08963e-05
0.015 4.2 6.09034e-06
0.015 4.25 5.73932e-06
0.015 4.3 2.77316e-06
0.015 4.35 6.17358e-06
0.015 4.4 1.18384e-06
0.015 4.45 1.8456e-06
0.015 4.5 4.06605e-06
0.015 4.55 1.00744e-05
0.015 4.6 1.12747e-05
0.015 4.65 3.02213e-07
0.015 4.7 5.93988e-06
0.015 4.75 7.03325e-06
0.015 4.8 3.42593e-06
0.015 4.85 4.33206e-06
0.015 4.9 1.31465e-06
0.015 4.95 2.9558e-06
0.015 5 4.53855e-06
0.02 0 0.000665756
0.02 0.05 0.00105925
0.02 0.1 0.00137971
0.02 0.15 0.00117477
0.02 0.2 0.000746992
0.02 0.25 0.00045308
0.02 0.3 0.000290279
0.02 0.35 0.000197373
0.02 0.4 0.000136351
0.02 0.45 0.000106312
0.02 0.5 7.37774e-05
0.02 0.55 5.76063e-05
0.02 0.6 3.62977e-05
0.02 0.65 4.8434e-05
0.02 0.7 4.32714e-05
0.02 0.75 2.43329e-05
0.02 0.8 3.33583e-05
0.02 0.85 1.74169e-05
0.02 0.9 1.75902e-05
0.02 0.95 2.28042e-05
0.02 1 3.81211e-05
0.02 1.05 3.49673e-05
0.02 1.1 4.16131e-05
0.02 1.15 1.44403e-05
0.02 1.2 1.23667e-05
0.02 1.25 1.55751e-05
0.02 1.3 2.48731e-05
0.02 1.35 2.13895e-05
0.02 1.4 4.95968e-05
0.02 1.45 7.89739e-05
0.02 1.5 9.92505e-05
0.02 1.55 1.08058e-05
0.02 1.6 1.3779e-05
0.02 1.65 6.38297e-05
0.02 1.7 9.72533e-06
0.02 1.75 2.1985e-05
0.02 1.8 1.63278e-05
0.02 1.85 0.000115377
0.02 1.9 8.08837e-05
0.02 1.95 1.45651e-05
0.02 2 0.000133371
0.02 2.05 0.000110285
0.02 2.1 0.000165412
0.02 2.15 0.000159698
0.02 2.2 0.000292675
0.02 2.25 0.000213723
0.02 2.3 7.85531e-05
0.02 2.35 0.000188456
0.02 2.4 3.11864e-05
0.02 2.45 0.000113809
0.02 2.5 3.45406e-05
0.02 2.55 0.000180782
0.02 2.6 0.000195545
0.02 2.65 6.75075e-05
0.02 2.7 6.3728e-05
0.02 2.75 0.000350689
0.02 2.8 0.000398248
0.02 2.85 0.00017794
0.02 2.9 9.65857e-05
0.02 2.95 0.000267527
0.02 3 0.000154895
0.02 3.05 5.42966e-06
0.02 3.1 5.93857e-05
0.02 3.15 2.48411e-05
0.02 3.2 0.000259846
0.02 3.25 0.000246244
0.02 3.3 1.42989e-05
0.02 3.35 0.00025672
0.02 3.4 0.000305912
0.02 3.45 0.000397421
0.02 3.5 0.000173478
0.02 3.55 0.000605882
0.02 3.6 0.000751145
0.02 3.65 0.000143288
0.02 3.7 0.000374095
0.02 3.75 0.00125367
0.02 3.8 0.000221349
0.02 3.85 7.72801e-05
0.02 3.9 0.000316216
0.02 3.95 6.23571e-05
0.02 4 5.78566e-05
0.02 4.05 6.63035e-06
0.02 4.1 4.31025e-06
0.02 4.15 1.13583e-05
0.02 4.2 4.24576e-06
0.02 4.25 6.80541e-06
0.02 4.3 2.92899e-06
0.02 4.35 4.87074e-06
0.02 4.4 4.39266e-06
0.02 4.45 3.97739e-06
0.02 4.5 4.1923e-06
0.02 4.55 1.23364e-05
0.02 4.6 4.56882e-06
0.02 4.65 4.41594e-06
0.02 4.7 2.82889e-06
0.02 4.75 7.32422e-07
0.02 4.8 4.38375e-06
0.02 4.85 1.86203e-06
0.02 4.9 2.29979e-06
0.02 4.95 1.25761e-06
0.02 5 2.86959e-06
0.025 0 0.00057942
0.025 0.05 0.000989247
0.025 0.1 0.00153937
0.025 0.15 0.00167326
0.025 0.2 0.00120088
0.025 0.25 0.000729292
0.025 0.3 0.000456235
0.025 0.35 0.000296791
0.025 0.4 0.00020765
0.025 0.45 0.00014896
0.025 0.5 0.000112299
0.025 0.55 8.3774e-05
0.025 0.6 6.31014e-05
0.025 0.65 6.30027e-05
0.025 0.7 5.66586e-05
0.025 0.75 3.62301e-05
0.025 0.8 4.16101e-05
0.025 0.85 2.56631e-05
0.025 0.9 2.16157e-05
0.025 0.95 2.84832e-05
0.025 1 2.82053e-05
0.025 1.05 2.96482e-05
0.025 1.1 4.8275e-05
0.025 1.15 8.25339e-06
0.025 1.2 1.4388e-05
0.025 1.25 6.75682e-06
0.025 1.3 8.85836e-06
0.025 1.35 1.16046e-05
0.025 1.4 2.29074e-05
0.025 1.45 7.53706e-05
0.025 1.5 0.00011056
0.025 1.55 7.9788e-07
0.025 1.6 2.53112e-05
0.025 1.65 4.263e-05
0.025 1.7 1.56124e-05
0.025 1.75 3.23831e-05
0.025 1.8 9.04135e-06
0.025 1.85 9.43095e-05
0.025 1.9 4.59785e-05
0.025 1.95 1.33301e-05
0.025 2 0.000112018
0.025 2.05 0.000111545
0.025 2.1 0.000145576
0.025 2.15 9.65224e-05
0.025 2.2 0.000273076
0.025 2.25 0.000175307
0.025 2.3 5.30976e-05
0.025 2.35 0.000140202
0.025 2.4 4.98692e-05
0.025 2.45 0.000136063
0.025 2.5 2.49882e-05
0.025 2.55 0.000178503
0.025 2.6 0.000213227
0.025 2.65 4.91734e-05
0.025 2.7 4.81981e-05
0.025 2.75 0.000315596
0.025 2.8 0.000427476
0.025 2.85 0.000151343
0.025 2.9 0.000116945
0.025 2.95 0.000143217
0.025 3 0.000136968
0.025 3.05 4.87264e-06
0.025 3.1 1.31152e-06
0.025 3.15 4.40372e-05
0.025 3.2 0.00024998
0.025 3.25 0.000227313
0.025 3.3 2.78306e-05
0.025 3.35 0.000252248
0.025 3.4 0.000322135
0.025 3.45 0.000427995
0.025 3.5 0.000167444
0.025 3.55 0.000606517
0.025 3.6 0.000729151
0.025 3.65 0.0001479
0.025 3.7 0.00036375
0.025 3.75 0.00119382
0.025 3.8 0.000201084
0.025 3.85 4.64116e-05
0.025 3.9 0.000326279
0.025 3.95 4.92041e-05
0.025 4 6.90415e-05
0.025 4.05 6.33372e-06
0.025 4.1 4.71397e-06
0.025 4.15 1.08104e-05
0.025 4.2 1.05075e-06
0.025 4.25 5.70263e-06
0.025 4.3 2.40221e-06
0.025 4.35 5.06282e-06
0.025 4.4 4.80949e-06
0.025 4.45 2.81141e-06
0.025 4.5 2.43346e-06
0.025 4.55 1.10407e-05
0.025 4.6 7.64161e-06
0.025 4.65 5.00147e-06
0.025 4.7 9.09753e-07
0.025 4.75 5.87826e-06
0.025 4.8 7.37987e-06
0.025 4.85 4.2524e-06
0.025 4.9 4.39189e-06
0.025 4.95 3.85838e-06
0.025 5 2.60428e-06
0.03 0 0.000570665
0.03 0.05 0.000933568
0.03 0.1 0.00152689
0.03 0.15 0.00205382
0.03 0.2 0.00180048
0.03 0.25 0.00115775
0.03 0.3 0.000705253
0.03 0.35 0.000451016
0.03 0.4 0.000304109
0.03 0.45 0.000215733
0.03 0.5 0.000160765
0.03 0.55 0.000118949
0.03 0.6 9.61046e-05
0.03 0.65 7.88593e-05
0.03 0.7 7.31471e-05
0.03 0.75 4.27971e-05
0.03 0.8 5.18607e-05
0.03 0.85 4.08712e-05
0.03 0.9 3.25785e-05
0.03 0.95 4.33254e-05
0.03 1 2.52824e-05
0.03 1.05 2.2038e-06
0.03 1.1 6.24252e-05
0.03 1.15 9.64656e-06
0.03 1.2 2.17254e-05
0.03 1.25 2.9113e-06
0.03 1.3 8.27987e-06
0.03 1.35 2.35962e-05
0.03 1.4 2.18471e-07
0.03 1.45 7.1749e-05
0.03 1.5 0.000114242
0.03 1.55 1.80115e-05
0.03 1.6 4.16609e-05
0.03 1.65 2.36297e-05
0.03 1.7 2.67242e-05
0.03 1.75 5.73634e-05
0.03 1.8 3.79712e-05
0.03 1.85 7.74171e-05
0.03 1.9 1.84065e-05
0.03 1.95 1.14574e-05
0.03 2 9.07065e-05
0.03 2.05 0.000108621
0.03 2.1 0.00012281
0.03 2.15 1.98351e-05
0.03 2.2 0.000275383
0.03 2.25 0.000124729
0.03 2.3 5.14929e-05
0.03 2.35 8.27426e-05
0.03 2.4 7.91331e-05
0.03 2.45 0.000147826
0.03 2.5 1.9835e-05
0.03 2.55 0.000156859
0.03 2.6 0.000211543
0.03 2.65 5.41503e-05
0.03 2.7 3.06066e-05
0.03 2.75 0.000269719
0.03 2.8 0.000413314
0.03 2.85 7.94179e-05
0.03 2.9 0.000105098
0.03 2.95 2.8893e-05
0.03 3 0.000105118
0.03 3.05 3.043e-05
0.03 3.1 8.61192e-05
0.03 3.15 5.55888e-05
0.03 3.2 0.000233049
0.03 3.25 0.000230993
0.03 3.3 5.02951e-05
0.03 3.35 0.000247291
0.03 3.4 0.000337849
0.03 3.45 0.000476166
0.03 3.5 0.000190855
0.03 3.55 0.000580608
0.03 3.6 0.000713596
0.03 3.65 9.1697e-05
0.03 3.7 0.000347865
0.03 3.75 0.0011418
0.03 3.8 0.000174081
0.03 3.85 1.00942e-05
0.03 3.9 0.000340448
0.03 3.95 5.93851e-05
0.03 4 7.07117e-05
0.03 4.05 1.41599e-05
0.03 4.1 6.62001e-06
0.03 4.15 9.53326e-06
0.03 4.2 7.96832e-07
0.03 4.25 3.21656e-06
0.03 4.3 4.09185e-06
0.03 4.35 7.4916e-06
0.03 4.4 2.23403e-06
0.03 4.45 6.51374e-06
0.03 4.5 6.31063e-06
0.03 4.55 6.21398e-06
0.03 4.6 1.99036e-06
0.03 4.65 6.26277e-07
0.03 4.7 4.07246e-06
0.03 4.75 6.6562e-06
0.03 4.8 1.04078e-05
0.03 4.85 7.46656e-06
0.03 4.9 2.88043e-06
0.03 4.95 6.96152e-06
0.03 5 9.76054e-06
0.035 0 0.000572912
0.035 0.05 0.000873674
0.035 0.1 0.00140054
0.035 0.15 0.00215597
0.035 0.2 0.00239061
0.035 0.25 0.00176391
0.035 0.3 0.00107298
0.035 0.35 0.000675664
0.035 0.4 0.000434785
0.035 0.45 0.000310003
0.035 0.5 0.000219769
0.035 0.55 0.000160595
0.035 0.6 0.000121974
0.035 0.65 9.9171e-05
0.035 0.7 9.35727e-05
0.035 0.75 5.94475e-05
0.035 0.8 6.32953e-05
0.035 0.85 6.08403e-05
0.035 0.9 4.42535e-05
0.035 0.95 5.05881e-05
0.035 1 2.95238e-05
0.035 1.05 1.89948e-05
0.035 1.1 6.4241e-05
0.035 1.15 1.37726e-05
0.035 1.2 2.9721e-05
0.035 1.25 1.7672e-05
0.035 1.3 1.40846e-05
0.035 1.35 2.64949e-05
0.035 1.4 1.50491e-05
0.035 1.45 5.77643e-05
0.035 1.5 0.000117686
0.035 1.55 2.32677e-05
0.035 1.6 5.83108e-05
0.035 1.65 1.56522e-05
0.035 1.7 3.97447e-05
0.035 1.75 7.0157e-05
0.035 1.8 5.52869e-05
0.035 1.85 6.21269e-05
0.035 1.9 4.21984e-06
0.035 1.95 9.1275e-06
0.035 2 8.31985e-05
0.035 2.05 9.30342e-05
0.035 2.1 9.17718e-05
0.035 2.15 3.21999e-05
0.035 2.2 0.000258929
0.035 2.25 9.39276e-05
0.035 2.3 3.11385e-05
0.035 2.35 1.99544e-05
0.035 2.4 6.45074e-05
0.035 2.45 0.000156828
0.035 2.5 4.85452e-06
0.035 2.55 0.000108214
0.035 2.6 0.00017642
0.035 2.65 2.42139e-05
0.035 2.7 1.16156e-05
0.035 2.75 0.000225774
0.035 2.8 0.000401451
0.035 2.85 6.17291e-05
0.035 2.9 0.000123843
0.035 2.95 4.76354e-05
0.035 3 7.35639e-05
0.035 3.05 5.95671e-05
0.035 3.1 0.000167693
0.035 3.15 8.79112e-05
0.035 3.2 0.000224352
0.035 3.25 0.000250448
0.035 3.3 6.28688e-05
0.035 3.35 0.000234087
0.035 3.4 0.000298496
0.035 3.45 0.000447314
0.035 3.5 0.00016999
0.035 3.55 0.000517375
0.035 3.6 0.000693533
0.035 3.65 5.97894e-05
0.035 3.7 0.000310832
0.035 3.75 0.00109741
0.035 3.8 0.000130079
0.035 3.85 2.07543e-05
0.035 3.9 0.000322405
0.035 3.95 5.89766e-05
0.035 4 6.7096e-05
0.035 4.05 2.34756e-05
0.035 4.1 5.60993e-06
0.035 4.15 1.01806e-05
0.035 4.2 4.27534e-06
0.035 4.25 1.4625e-05
0.035 4.3 6.54566e-06
0.035 4.35 8.06772e-06
0.035 4.4 1.62802e-06
0.035 4.45 1.34748e-05
0.035 4.5 7.23734e-06
0.035 4.55 1.51617e-06
0.035 4.6 5.43259e-06
0.035 4.65 2.97387e-06
0.035 4.7 6.89361e-06
0.035 4.75 8.24916e-06
0.035 4.8 7.40084e-06
0.035 4.85 3.96266e-06
0.035 4.9 1.9803e-06
0.035 4.95 4.03027e-06
0.035 5 1.21943e-05
0.04 0 0.000510698
0.04 0.05 0.000764957
0.04 0.1 0.00122247
0.04 0.15 0.00198759
0.04 0.2 0.00272906
0.04 0.25 0.00247389
0.04 0.3 0.00161208
0.04 0.35 0.000983823
0.04 0.4 0.000624339
0.04 0.45 0.000424012
0.04 0.5 0.000300514
0.04 0.55 0.000211951
0.04 0.6 0.000154668
0.04 0.65 0.000128499
0.04 0.7 0.000116192
0.04 0.75 9.08001e-05
0.04 0.8 7.6798e-05
0.04 0.85 7.55675e-05
0.04 0.9 5.19844e-05
0.04 0.95 5.04447e-05
0.04 1 2.77473e-05
0.04 1.05 1.87269e-05
0.04 1.1 5.79579e-05
0.04 1.15 3.58158e-06
0.04 1.2 3.22363e-05
0.04 1.25 4.03373e-05
0.04 1.3 1.80867e-05
0.04 1.35 1.87125e-05
0.04 1.4 1.95149e-05
0.04 1.45 3.54941e-05
0.04 1.5 0.000127504
0.04 1.55 1.73512e-05
0.04 1.6 6.78365e-05
0.04 1.65 1.77376e-05
0.04 1.7 4.0691e-05
0.04 1.75 6.8712e-05
0.04 1.8 5.91842e-05
0.04 1.85 4.20721e-05
0.04 1.9 3.79117e-05
0.04 1.95 5.95581e-06
0.04 2 8.47634e-05
0.04 2.05 6.57824e-05
0.04 2.1 4.76022e-05
0.04 2.15 4.98459e-05
0.04 2.2 0.000213879
0.04 2.25 8.81472e-05
0.04 2.3 1.61621e-05
0.04 2.35 3.45793e-05
0.04 2.4 2.7989e-05
0.04 2.45 0.000176143
0.04 2.5 3.49002e-06
0.04 2.55 7.1827e-05
0.04 2.6 0.000132434
0.04 2.65 2.53385e-05
0.04 2.7 9.05409e-06
0.04 2.75 0.000207626
0.04 2.8 0.000409005
0.04 2.85 9.56367e-05
0.04 2.9 0.000155148
0.04 2.95 0.000138334
0.04 3 5.0088e-05
0.04 3.05 9.52294e-05
0.04 3.1 0.000217816
0.04 3.15 0.000113447
0.04 3.2 0.000210884
0.04 3.25 0.000274244
0.04 3.3 5.80873e-05
0.04 3.35 0.000195135
0.04 3.4 0.000237185
0.04 3.45 0.000376587
0.04 3.5 9.89944e-05
0.04 3.55 0.000461234
0.04 3.6 0.000667318
0.04 3.65 8.26122e-05
0.04 3.7 0.000267544
0.04 3.75 0.00104011
0.04 3.8 7.09242e-05
0.04 3.85 5.1315e-05
0.04 3.9 0.000285152
0.04 3.95 4.03052e-05
0.04 4 7.20316e-05
0.04 4.05 2.42652e-05
0.04 4.1 2.10408e-06
0.04 4.15 1.23997e-05
0.04 4.2 7.43236e-06
0.04 4.25 1.86857e-05
0.04 4.3 4.9468e-06
0.04 4.35 5.03591e-06
0.04 4.4 4.28316e-06
0.04 4.45 1.21167e-05
0.04 4.5 1.91541e-07
0.04 4.55 9.76162e-07
0.04 4.6 2.94594e-08
0.04 4.65 3.53356e-06
0.04 4.7 9.27257e-06
0.04 4.75 1.05988e-05
0.04 4.8 1.17625e-06
0.04 4.85 9.22601e-07
0.04 4.9 3.14062e-06
0.04 4.95 1.01462e-06
0.04 5 7.76271e-06
0.045 0 0.000435515
0.045 0.05 0.000654631
0.045 0.1 0.00104825
0.045 0.15 0.00171129
0.045 0.2 0.00269455
0.045 0.25 0.00308414
0.045 0.3 0.00234349
0.045 0.35 0.00142728
0.045 0.4 0.000895355
0.045 0.45 0.000574392
0.045 0.5 0.000409899
0.045 0.55 0.000283226
0.045 0.6 0.000210688
0.045 0.65 0.000167896
0.045 0.7 0.000141655
0.045 0.75 0.000122709
0.045 0.8 9.58381e-05
0.045 0.85 8.18939e-05
0.045 0.9 6.09464e-05
